Biomarker_A,Biomarker_B,Gate_Type,N_Both,beta_A,beta_B,beta_int,z_int,p_int,dep_rate_both,dep_rate_control,FDR_q
LBXSBU,LBXSNASI,High-High,117,-0.13744598730880783,-0.001978628785976882,0.9511086478908146,3.0582451790909038,0.0022263733854754756,0.1794871794871795,0.08458106098165592,0.8829995525349683
LBXSKSI,LBXSAL,High-Low,160,-0.01665244791641219,0.15908700973045845,0.8143538233317447,3.0438198854778182,0.0023359494953398663,0.19375,0.08394742083250349,0.8829995525349683
LBXSAPSI,LBXSCA,Low-Low,35,-0.41296644997011883,-0.17077844840061215,1.4903572375304135,2.965616760607884,0.003020766549618939,0.2,0.08527589259368545,0.8829995525349683
LBXSBU,LBXSUA,Low-High,17,0.280624695259588,-0.31945449529254766,1.6146073339883502,2.8067282185225717,0.005004744713565689,0.29411764705882354,0.08532155130093275,0.8829995525349683
LBDHDD,LBXTR,TwoSided,68,-0.0172349269377245,-0.03125286036109543,1.1233003678322795,2.6548421377964075,0.007934553066111068,0.19117647058823528,0.08496151568975725,0.8829995525349683
diastolic_bp,LBXSUA,High-Low,38,0.1407384452985537,-0.2027075061892145,1.1090729829942527,2.6096104869193617,0.009064536907815132,0.23684210526315788,0.08510428964974419,0.8829995525349683
LBXTR,LBXSCA,High-Low,23,0.16677373165555603,-0.15846061921630128,1.4136606415988506,2.5929129895199576,0.009516684406313109,0.2608695652173913,0.08527360251498182,0.8829995525349683
LBXTC,LBXSNASI,TwoSided,398,0.21746757784972015,0.3596289162641869,-0.5856440636980357,-2.577569580244365,0.009949784750674042,0.07788944723618091,0.08598531211750306,0.8829995525349683
LBDHDD,LBDLDL,High-Low,60,-0.3755200075080938,-0.06326663857876201,1.0997381022224404,2.5750273710043787,0.010023215443685821,0.16666666666666666,0.08519029777164268,0.8829995525349683
LBXSBU,LBXSNASI,TwoSided,327,-0.00254567402492033,0.1641515429204864,0.5495773118877783,2.5075807937808094,0.012156078774388361,0.1559633027522936,0.08334177215189874,0.8829995525349683
LBDLDL,LBXPLTSI,TwoSided,139,0.29531166283569066,0.2177663038627032,-1.0384831027443668,-2.481693023089159,0.013075986899041147,0.050359712230215826,0.08615720957964822,0.8829995525349683
LBXTC,LBDLDL,High-High,338,0.18243714992651477,0.6514901617944096,-0.8769422592812502,-2.4558301507338074,0.014055957394377374,0.08284023668639054,0.08576642335766424,0.8829995525349683
LBXSAPSI,LBXSAL,High-Low,190,0.48452552145526534,0.3956824259441603,-0.7234552400871124,-2.4493132392048906,0.014312891438248852,0.1,0.08539752297243308,0.8829995525349683
LBDHDD,LBXSCR,High-High,31,-0.34320320447140246,0.03499155915200908,1.2637261991186988,2.436207797336669,0.014842155538110203,0.1935483870967742,0.08534067446662079,0.8829995525349683
diastolic_bp,LBXSUA,Low-Low,68,-0.13048445096157602,-0.21451642047271124,0.9331137747722484,2.4125917252314677,0.015839551326378078,0.16176470588235295,0.08515887112689954,0.8829995525349683
diastolic_bp,LBXSAPSI,Low-Low,26,-0.08480644023352983,-0.33971333726509295,1.3546608166192418,2.4052659138541936,0.01616070172808445,0.19230769230769232,0.08539701257861636,0.8829995525349683
diastolic_bp,LBXSAL,TwoSided,331,-0.014788617521426848,0.09075228594831068,0.5080874147115232,2.3894867014317853,0.016871934668942674,0.13897280966767372,0.0838820788167359,0.8829995525349683
diastolic_bp,LBXHGB,Low-Low,124,0.11070275406683389,0.3016233143051463,-1.084365340093761,-2.381155443152703,0.01725842763899038,0.04838709677419355,0.08612820003969042,0.8829995525349683
diastolic_bp,LBXSUA,TwoSided,299,0.019842499962442382,-0.30625558922025853,0.5581121684458755,2.3443136713112436,0.019062132471024704,0.11036789297658862,0.08492376047662324,0.8829995525349683
LBXSKSI,LBXHGB,Low-Low,116,-0.2120023009911554,0.10181528281281448,0.7394410697127866,2.3387410214628725,0.019348840749171967,0.16379310344827586,0.08477096966091612,0.8829995525349683
LBXTR,LBXSCA,TwoSided,42,0.10872037106669462,-0.0011849708054563317,1.0587328272354122,2.3149289299900264,0.0206168218154449,0.21428571428571427,0.08513779527559055,0.8829995525349683
BMXWAIST,systolic_bp,Low-High,40,-0.3198654423916377,-0.007283356187747997,1.0287009512433385,2.2598603524359313,0.023829919272372567,0.175,0.08531785081676835,0.8829995525349683
BMXWAIST,LBXHGB,Low-Low,80,-0.3532048398910895,0.12088890050127188,0.7995865769424796,2.251057013657042,0.024381926557949168,0.1625,0.08506224066390042,0.8829995525349683
LBDHDD,LBXSATSI,High-High,37,-0.34279150674923253,0.21589008163009835,1.0350653270187173,2.2369937295313176,0.025286749867404666,0.1891891891891892,0.0852926709296606,0.8829995525349683
BMXWAIST,LBDHDD,High-Low,102,0.5464359871976469,0.7075346719190581,-0.8459744871428112,-2.229206983533989,0.025800136101275208,0.09803921568627451,0.08554455445544555,0.8829995525349683
LBXTC,LBDLDL,TwoSided,584,0.13517823978166488,0.47854503048915736,-0.5939237999405557,-2.209591924928482,0.027133496242852516,0.08561643835616438,0.08567269702640881,0.8829995525349683
systolic_bp,LBXSBU,High-Low,22,-0.0060476646824174285,0.2830498895264484,1.1410623531170774,2.1981609200578367,0.027937640495838592,0.2727272727272727,0.08526522593320236,0.8829995525349683
LBXSAPSI,LBXHGB,High-High,75,0.27717194761676617,-0.1884216657830117,0.8099440741558036,2.1802569173242174,0.02923842267687288,0.16,0.08511898884171028,0.8829995525349683
systolic_bp,LBXGH,TwoSided,165,0.1116157509702084,0.4945488879910043,-0.7388035248889632,-2.1778471948587006,0.02941741492224896,0.07272727272727272,0.08588223572780711,0.8829995525349683
