Biomarker_A,Biomarker_B,Combo_Type,beta_A,p_A,beta_B,p_B,beta_combo,p_combo,aic_gain,FDR_q
BMXBMI,BMXWAIST,Difference,0.19764881908052728,9.279481975564017e-09,0.2610702796577473,1.1905547370257936e-13,-0.2966976294424049,1.2915805085160427e-15,9.010174646154155,5.2309010594899725e-14
BMXWAIST,BMXBMI,Difference,0.2610702796577473,1.1905547370257936e-13,0.19764881908052728,9.279481975564017e-09,0.2966976294424049,1.2915805085160427e-15,9.010174646154155,5.2309010594899725e-14
BMXWAIST,LBXSUA,Difference,0.25768949614488834,8.599789034647758e-13,-0.04860227900341162,0.2546212473008058,0.26465761735563126,1.4232953234193487e-13,3.385376986526353,2.8821730299241813e-12
LBXSUA,BMXWAIST,Difference,-0.04860227900341162,0.2546212473008058,0.25768949614488834,8.599789034647758e-13,-0.26465761735563126,1.4232953234193487e-13,3.385376986526353,2.8821730299241813e-12
BMXBMI,LBDHDD,Ratio,0.2051052713886191,5.950461557524433e-10,-0.17465182184535194,2.3256680225830137e-05,0.23058276445888348,4.6877699701836834e-12,9.714884512058234,7.594187351697567e-11
LBXSAL,LBXWBCSI,Ratio,-0.16529892343650704,3.390008018600254e-05,0.05948233303441254,0.13309990402889074,-0.27842372032166524,1.7517525677542186e-11,31.807835728079226,2.1923587228422552e-10
LBXGH,LBDHDD,Ratio,0.16033383840111806,2.3727829570123894e-07,-0.17935072955209913,1.211893527868335e-05,0.21606589396807077,1.8946309950488625e-11,17.45320042650019,2.1923587228422552e-10
LBXSUA,BMXBMI,Difference,-0.03307403035633973,0.4220452628148379,0.204246688973928,7.439360102908657e-10,-0.21898888155412977,5.1987624285282345e-11,4.853885867179997,4.678886185675411e-10
BMXBMI,LBXSUA,Difference,0.204246688973928,7.439360102908657e-10,-0.03307403035633973,0.4220452628148379,0.21898888155412977,5.1987624285282345e-11,4.853885867179997,4.678886185675411e-10
BMXBMI,LBXSAL,Ratio,0.20478075577645022,6.637552053526751e-10,-0.1647495425273203,4.7905009166605934e-05,0.21356353726898206,7.750316424332806e-11,3.502586423331195,6.277756303709573e-10
LBXSAL,LBXGH,Ratio,-0.17087978181800306,1.656948940195037e-05,0.1612224987166472,2.10027013713876e-07,-0.2458714084121048,1.2384076182617887e-10,15.819544853578918,9.119183370836808e-10
LBXHGB,LBXWBCSI,Ratio,-0.026111196914753953,0.5406708970817964,0.06345938139459502,0.13658806670334603,-0.26156775939479177,2.7215746650462566e-10,37.522975848442,1.8370628989062234e-09
LBXGH,LBXSAL,Ratio,0.1612224987166472,2.10027013713876e-07,-0.17087978181800306,1.656948940195037e-05,0.18613207841476567,1.4353876489641846e-09,8.414761362367244,8.943569197392228e-09
LBXSCA,LBXWBCSI,Ratio,-0.0011460758757429958,0.9749487804682969,0.059194545407172505,0.132816009590421,-0.2450341082347962,1.8522237954219402e-09,34.06032847093684,9.88722908327104e-09
LBXSNASI,LBXWBCSI,Ratio,-0.031661387198188506,0.4093114531727582,0.05937782235668915,0.13296393511924487,-0.24560132709014196,1.9201644366317243e-09,34.01513440063536,9.88722908327104e-09
LBDHDD,LBXWBCSI,Ratio,-0.17642293724441516,1.7708558655760802e-05,0.05914574201558871,0.13309506793232476,-0.26299303762715776,1.953032905337489e-09,20.977619772820617,9.88722908327104e-09
LBXGH,LBXSAL,Difference,0.1612224987166472,2.10027013713876e-07,-0.17087978181800306,1.656948940195037e-05,0.18726037157724582,2.3881200619091875e-09,7.622543709270758,1.0746540278591344e-08
LBXSAL,LBXGH,Difference,-0.17087978181800306,1.656948940195037e-05,0.1612224987166472,2.10027013713876e-07,-0.18726037157724582,2.3881200619091875e-09,7.622543709270758,1.0746540278591344e-08
LBXHSCRP,LBDHDD,Difference,0.13267658393924833,4.969225166696672e-07,-0.1756348782885932,1.946406035055125e-05,0.21861304814688154,3.0922072202086952e-09,13.00107281378223,1.2523439241845216e-08
LBDHDD,LBXHSCRP,Difference,-0.1756348782885932,1.946406035055125e-05,0.13267658393924833,4.969225166696672e-07,-0.21861304814688154,3.0922072202086952e-09,13.00107281378223,1.2523439241845216e-08
