Biomarker_A,Biomarker_B,r_correlation,Residual_Type,beta_e,z_stat,p_value,ols_slope_A,FDR_q
LBXSUA,BMXWAIST,0.32569059594599786,Directional,0.27649770633509474,7.878417157384891,3.3155420247727953e-15,3.8909344544730975,1.9893252148636772e-13
LBDHDD,BMXWAIST,-0.3270462615273376,Directional,0.21124272204488614,6.0360450813504025,1.579371472979982e-09,-0.36436229863501707,4.7381144189399464e-08
BMXBMI,BMXWAIST,0.9088737107069496,Directional,0.20298890397233085,5.553011925880714,2.8078891061351365e-08,2.1948839881252944,5.615778212270273e-07
LBXSCA,LBXSAL,0.48223711210676273,Directional,-0.17252653576762056,-4.970631020755785,6.673534590794177e-07,0.45368578802318266,1.0010301886191266e-05
LBXHSCRP,BMXBMI,0.3025696107579013,Directional,0.16845781915823874,4.909087002807474,9.150138015685684e-07,0.28538934384721465,1.0980165618822821e-05
LBXHSCRP,BMXBMI,0.3025696107579013,Absolute (Magnitude),0.21793997141875054,4.3628621672942565,1.2837182667473549e-05,0.28538934384721465,0.00012837182667473548
LBXHGB,LBXSAL,0.37285463329653784,Directional,-0.14783385712331226,-4.169885815011429,3.0475229036747286e-05,0.07795565826529836,0.00026121624888640534
LBXSUA,BMXWAIST,0.32569059594599786,Absolute (Magnitude),0.23054957457443961,4.037499672023692,5.4023920320745395e-05,3.8909344544730975,0.00040517940240559044
LBDHDD,BMXWAIST,-0.3270462615273376,Absolute (Magnitude),0.21862687480066545,3.9328624380756856,8.394027917132283e-05,-0.36436229863501707,0.0005596018611421522
BMXBMI,LBXHSCRP,0.3025696107579013,Absolute (Magnitude),0.10811186787619342,3.660241993710486,0.0002519771620665227,0.3073038457403404,0.001506746825465573
LBXIN,BMXWAIST,0.32399868286234434,Directional,0.18522875498370928,3.6357379533033085,0.0002771859942958402,0.2648636391366192,0.001506746825465573
BMXBMI,BMXWAIST,0.9088737107069496,Absolute (Magnitude),0.1897276085896827,3.601671468544835,0.0003161777736097012,2.1948839881252944,0.001506746825465573
BMXBMI,LBXHSCRP,0.3025696107579013,Directional,0.09792898914294917,3.5933434581595693,0.0003264618121842075,0.3073038457403404,0.001506746825465573
BMXWAIST,LBXSUA,0.32569059594599786,Directional,-0.13879546430960443,-3.5449664062684456,0.00039266312752688317,0.024022200472606968,0.0016828419751152136
LBXTC,LBXTR,0.3300912999446555,Directional,0.12709450544035572,3.2229803206399876,0.0012686426933155727,0.7942065611524858,0.005074570773262291
LBXIN,BMXBMI,0.3213351358119907,Directional,0.15266296569535737,3.1763649798363818,0.0014913319332330905,0.11020035923702816,0.005273418812724355
BMXWAIST,BMXBMI,0.9088737107069496,Absolute (Magnitude),0.1587424260961407,3.1758201872211167,0.0014941353302719007,0.3967366955977134,0.005273418812724355
BMXWAIST,BMXBMI,0.9088737107069496,Directional,-0.1133725021090911,-3.0672771365962785,0.0021601847632528254,0.3967366955977134,0.007200615877509418
LBXSAL,LBXHGB,0.37285463329653784,Absolute (Magnitude),0.1473876676561259,2.8906898128059897,0.003843973199610466,1.2482149561856104,0.012138862735611997
LBXSATSI,LBXSASSI,0.728161097796266,Absolute (Magnitude),0.11565621012905007,2.7665128311278977,0.005665935513124007,0.6438237981928591,0.01699780653937202
LBXGH,LBXGLU,0.8472075657369529,Absolute (Magnitude),0.14726803815532896,2.708951428666727,0.006749622015193632,28.430157540386293,0.019284634329124663
BMXWAIST,LBXIN,0.32399868286234434,Absolute (Magnitude),0.10898688009601731,2.687572587275464,0.007197345718905403,0.3992035382033854,0.019629124687923827
LBXTR,LBDHDD,-0.3418001879294918,Directional,-0.15184767888247303,-2.6360048215987812,0.008388853951518241,-0.054238738374264336,0.021883966830047587
BMXBMI,LBXIN,0.3213351358119907,Absolute (Magnitude),0.10482275651913134,2.593230467785862,0.009507903254908112,0.9371267890056941,0.02376975813727028
LBXGLU,LBXGH,0.8472075657369529,Absolute (Magnitude),0.13779090179827572,2.5436369889339407,0.010970503015818563,0.024739617824024344,0.02632920723796455
LBXSAL,LBXSCA,0.48223711210676273,Directional,0.08795513643987636,2.4779845483625693,0.013212686707534659,0.5555406108422445,0.030490815478926132
LBXIN,BMXWAIST,0.32399868286234434,Absolute (Magnitude),0.18584846606543934,2.3858569651654453,0.017039376850500273,0.2648636391366192,0.03786528189000061
LBXIN,BMXBMI,0.3213351358119907,Absolute (Magnitude),0.1592064423222145,2.242777875072885,0.024911141896143248,0.11020035923702816,0.05228279535809039
LBDHDD,LBXTR,-0.3418001879294918,Directional,0.0894119260819113,2.237249806467513,0.025270017756410357,-2.1200292698519516,0.05228279535809039
BMXBMI,LBXIN,0.3213351358119907,Directional,0.08348862287984067,2.139820558083129,0.032369271146826736,0.9371267890056941,0.06473854229365347
LBXTC,LBXTR,0.3300912999446555,Absolute (Magnitude),0.0960935128266832,2.097982410409603,0.03590669921668515,0.7942065611524858,0.06949683719358417
LBXGLU,LBXGH,0.8472075657369529,Directional,0.09554094749554154,2.067193510344847,0.03871592347369363,0.024739617824024344,0.07259235651317555
LBXSATSI,LBXSASSI,0.728161097796266,Directional,0.062391302988293894,2.041444563967513,0.04120665874834273,0.6438237981928591,0.07298179573490111
BMXWAIST,LBDHDD,-0.3270462615273376,Directional,-0.07859851273190431,-2.0399395100205977,0.04135635091644396,-0.3227742752368108,0.07298179573490111
LBXSASSI,LBXSATSI,0.728161097796266,Absolute (Magnitude),0.06617862874947592,1.9208434777506636,0.05475144333640518,0.818410483021215,0.09305829367457089
LBXTR,LBDHDD,-0.3418001879294918,Absolute (Magnitude),0.1335318924482573,1.9123214500078145,0.05583497620474253,-0.054238738374264336,0.09305829367457089
LBXTR,LBXTC,0.3300912999446555,Absolute (Magnitude),0.15118864282825836,1.889910542659536,0.058769925312126436,0.14238529309477496,0.09530258158723207
BMXWAIST,LBXIN,0.32399868286234434,Directional,0.07453715591149702,1.8582029535083324,0.06314019876194414,0.3992035382033854,0.09969505067675391
LBXSBU,LBXSCR,0.5187792327898515,Directional,0.0524985661516895,1.8227237687541762,0.06834523848554797,0.033734175814168335,0.10421341127860376
LBXSCR,LBXSBU,0.5187792327898515,Directional,-0.06852375956064977,-1.815314398554257,0.06947560751906917,6.68767110582599,0.10421341127860376
LBDHDD,LBXTR,-0.3418001879294918,Absolute (Magnitude),0.0817497180874888,1.7881915399838642,0.07374511073821731,-2.1200292698519516,0.10791967425104973
