outcome_name,marker1_name,marker2_name,correlation_r,beta_dir,p_dir,beta_abs,p_abs,best_p,is_directional,p_fdr,p_bonferroni,survives_fdr,survives_bonferroni
Hypertension,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.48506764408080216,2.359756718918565e-45,0.19005553644498155,0.0003390634970388823,2.359756718918565e-45,1,3.020488600215763e-43,3.020488600215763e-43,True,True
Diabetes,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.5884065511132405,2.2296711028425623e-41,0.2537819705459171,0.00011941979396941261,2.2296711028425623e-41,1,1.4269895058192399e-39,2.8539790116384798e-39,True,True
Diabetes,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.1156669183284865,0.01553719692880055,1.113736177614113,7.382850426421582e-40,7.382850426421582e-40,0,3.1500161819398747e-38,9.450048545819625e-38,True,True
Arthritis,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.43175949413065945,1.4948895216179765e-32,0.22055662295213788,0.00010863289465548685,1.4948895216179765e-32,1,4.783646469177525e-31,1.91345858767101e-30,True,True
High Cholesterol,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.24682171559105806,1.3051664490793963e-13,-0.11663669057685379,0.03421523239489356,1.3051664490793963e-13,1,3.3412261096432547e-12,1.6706130548216273e-11,True,True
Diabetes,Calcium (mg/dL),Albumin (g/dL),0.5113459502479462,-0.29132698941203805,2.3196277391662214e-13,0.23528878521538948,8.478503204607575e-05,2.3196277391662214e-13,1,4.948539176887939e-12,2.9691235061327634e-11,True,True
Diabetes,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),0.5501150722438025,0.2045958039343971,3.784179334662339e-09,0.3521691432257612,1.4615604759743147e-12,1.4615604759743147e-12,0,2.6725677274958897e-11,1.8707974092471228e-10,True,True
Hypertension,Systolic BP (mmHg),Diastolic BP (mmHg),0.48249120160045034,0.09021355908558323,0.004558687247062971,0.31304419109450676,9.473762085171799e-10,9.473762085171799e-10,0,1.5158019336274878e-08,1.2126415469019902e-07,True,True
High Cholesterol,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),0.7640238433648419,-0.2707062137994853,2.109150995135566e-09,-0.021245750108452144,0.5995393017085906,2.109150995135566e-09,1,2.999681415303916e-08,2.6997132737735246e-07,True,True
Hypertension,Calcium (mg/dL),Albumin (g/dL),0.5113459502479462,-0.18572415963066186,8.13296492854524e-09,0.11431816758608376,0.022134825884483286,8.13296492854524e-09,1,1.0410195108537906e-07,1.0410195108537907e-06,True,True
Diabetes,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),0.7640238433648419,-0.3672567053371655,1.0303783255374595e-08,0.09493916886716457,0.024049106586394718,1.0303783255374595e-08,1,1.1989856878981346e-07,1.3188842566879481e-06,True,True
Stroke,Calcium (mg/dL),Albumin (g/dL),0.5113459502479462,-0.3308221076995145,2.933754059349294e-07,0.23089257812286124,0.01804903503565658,2.933754059349294e-07,1,3.1293376633059138e-06,3.7552051959670963e-05,True,True
Diabetes,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.21967731935901927,5.207631881508082e-07,0.18984048422357935,0.0017393812375118725,5.207631881508082e-07,1,5.127514467946419e-06,6.665768808330345e-05,True,True
Heart Attack,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.36213820644785943,1.3237962849224557e-06,0.11015807028030122,0.32965614166475055,1.3237962849224557e-06,1,1.2103280319291025e-05,0.00016944592447007433,True,True
Liver Condition,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),0.7640238433648419,0.11430113388075046,0.013627038368057308,0.21379139011764908,3.0728951713628945e-06,3.0728951713628945e-06,0,2.6222038795630032e-05,0.0003933305819344505,True,True
Arthritis,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.12950623675378628,0.00020159595477940075,0.2255559957887538,2.3999451106550486e-05,2.3999451106550486e-05,0,0.00019199560885240389,0.003071929741638462,True,True
Arthritis,Calcium (mg/dL),Albumin (g/dL),0.5113459502479462,-0.1404667087338342,4.010220523970718e-05,0.019820156820034376,0.7121004838284792,4.010220523970718e-05,1,0.0003019460159225011,0.005133082270682519,True,True
Hypertension,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.1318292498746322,4.481078331341249e-05,0.17078944597313375,0.0006005878316501946,4.481078331341249e-05,1,0.0003186544591175999,0.005735780264116799,True,True
Hypertension,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),0.5501150722438025,0.09332580353513704,0.0027470751176512003,0.18648783419856596,9.445688971305051e-05,9.445688971305051e-05,0,0.0006363411517510771,0.012090481883270466,True,True
Hypertension,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.04515897061921745,0.28902177782577076,0.21886777352463127,0.00021336271459441682,0.00021336271459441682,0,0.0013655213734042678,0.027310427468085353,True,True
Hypertension,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),0.7640238433648419,-0.04135443649435706,0.23805455816058996,0.13632894401806037,0.00027717672334254804,0.00027717672334254804,0,0.001689458123230769,0.03547862058784615,True,True
Heart Attack,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.2593994510803785,0.00040251226153726884,0.06412277361526518,0.5982126792775933,0.00040251226153726884,1,0.002252652213222643,0.05152156947677041,True,False
High Cholesterol,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.1147276966468656,0.0004047734445634437,0.020360322496910634,0.6870533188777479,0.0004047734445634437,1,0.002252652213222643,0.051811000904120795,True,False
High Cholesterol,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.013147103720573462,0.7580246096863295,0.20381322100907004,0.0004902664962668404,0.0004902664962668404,0,0.002614754646756482,0.06275411152215557,True,False
Stroke,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),0.5501150722438025,0.02727050036731468,0.6309827720864214,0.2273806251162176,0.0008023079548815637,0.0008023079548815637,0,0.004107816728993606,0.10269541822484016,True,False
Heart Attack,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.06330423294367707,0.4244410408276006,0.2674219829143761,0.0014739267463500577,0.0014739267463500577,0,0.007256254751261822,0.18866262353280738,True,False
Arthritis,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),0.5501150722438025,0.10006723401521973,0.0022477434604390185,0.1310195233232608,0.006411309137984407,0.0022477434604390185,1,0.010655968997636829,0.28771116293619436,True,False
Stroke,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.21327883791439362,0.0029623899859903668,0.20902105157655318,0.04116431722616996,0.0029623899859903668,1,0.013542354221670248,0.37918591820676695,True,False
Heart Attack,Creatinine Kidney (mg/dL),BUN Kidney (mg/dL),0.5501150722438025,0.10679929766394308,0.045792862704919376,0.2033952048214047,0.0032167486825375635,0.0032167486825375635,0,0.014198063150510625,0.41174383136480813,True,False
Heart Attack,Systolic BP (mmHg),Diastolic BP (mmHg),0.48249120160045034,-0.15906364500587747,0.006330312894800239,0.10726996103190299,0.17794716266135235,0.006330312894800239,1,0.027009335017814353,0.8102800505344306,True,False
Thyroid Problem,Body Mass Index (kg/m2),Waist Circumference (cm),0.9328225308747892,0.12336523384851784,0.006835528977635725,0.13124643098767796,0.051792879099189074,0.006835528977635725,1,0.028224119649592674,0.8749477091373729,True,False
Heart Attack,Calcium (mg/dL),Albumin (g/dL),0.5113459502479462,-0.10455499820340998,0.12064264408692438,0.2535792784232615,0.009709140388103301,0.009709140388103301,0,0.037700559873534524,1.0,True,False
Diabetes,Systolic BP (mmHg),Diastolic BP (mmHg),0.48249120160045034,-0.10760257582879805,0.009747496896066394,-0.02551756617488452,0.6639644582096983,0.009747496896066394,1,0.037700559873534524,1.0,True,False
Arthritis,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.11769018481005977,0.010014211216407607,0.1356236677984794,0.022966243362786052,0.010014211216407607,1,0.037700559873534524,1.0,True,False
Liver Condition,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),0.8441732591799292,0.17844895012307618,0.017761040292240054,0.06451463818967038,0.5330427486127676,0.017761040292240054,1,0.0649546616401922,1.0,False,False
Stroke,Systolic BP (mmHg),Waist Circumference (cm),0.4102883756778136,0.15352135941046344,0.036269015238281084,0.2666322492527183,0.019159176938767748,0.019159176938767748,0,0.06812151800450755,1.0,False,False
Thyroid Problem,Total Cholesterol (mg/dL),LDL Cholesterol (mg/dL),0.9305272055401838,0.029159764938042766,0.6512506168636341,-0.2550663772231417,0.020793398534122372,0.020793398534122372,0,0.0719339192531801,1.0,False,False
High Cholesterol,Systolic BP (mmHg),Diastolic BP (mmHg),0.48249120160045034,0.017323503007715613,0.585290832218619,0.10657971459010734,0.02485885537828942,0.02485885537828942,0,0.08373509180055383,1.0,False,False
