outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,correlation_r,n_samples,n_cases,beta_dir,p_dir,aic_dir,beta_abs,p_abs,aic_abs,best_p,is_directional
diabetes_binary,Diabetes,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,7583,773.0,0.7749272134028397,5.051012112555885e-69,4652.634861038177,0.5148537358774538,4.426743177594986e-22,4909.576388864408,5.051012112555885e-69,1
hypertension_binary,Hypertension,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,5453,1879.0,0.5558405975598225,6.113998131995301e-69,6688.579278312709,0.1556393633323432,0.0007326964923004497,7016.420421794179,6.113998131995301e-69,1
high_cholesterol_binary,High Cholesterol,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,5425,1743.0,0.5218794665148814,4.3550521074224836e-60,6525.084425611912,0.06589485124712262,0.16243190494184112,6814.104300290213,4.3550521074224836e-60,1
diabetes_binary,Diabetes,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2885,416.0,0.12516215902543343,0.013108725603833889,2378.1940505290067,1.2866361844679088,8.885754277976633e-54,2026.043078204898,8.885754277976633e-54,0
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,6424,748.0,0.5765776365591703,3.540258452543135e-51,4395.22670265466,0.312812151996429,2.6528875685925717e-07,4600.8624192501975,3.540258452543135e-51,1
diabetes_binary,Diabetes,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5897,800.0,0.5351366776338735,5.849659604452298e-49,4460.231230846227,0.6010956568008038,3.3112715871071374e-35,4523.919438508505,5.849659604452298e-49,1
hypertension_binary,Hypertension,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5408,1900.0,0.46115116688944663,1.3798498273264748e-48,6777.0890494942305,0.4668942741163301,1.848138207698611e-25,6894.358384344423,1.3798498273264748e-48,1
hypertension_binary,Hypertension,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,5262,1818.0,0.4292142380954352,2.1086748660585067e-46,6573.752525409315,0.03458756779853241,0.46951027862634587,6787.393815425716,2.1086748660585067e-46,1
arthritis_binary,Arthritis,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4900,1524.0,0.4577094805721909,9.408630268121048e-43,5872.284444043394,0.3743241050720124,1.2097506298642825e-16,6006.320457272235,9.408630268121048e-43,1
high_cholesterol_binary,High Cholesterol,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5386,1763.0,0.4180287453821892,6.413568417010711e-41,6619.17893876396,0.2485971547748072,2.179714443763434e-09,6778.287748400296,6.413568417010711e-41,1
hypertension_binary,Hypertension,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5408,1900.0,-0.38611136307800487,1.383408896016714e-38,6838.2729393743075,0.10262604042902487,0.02148059358456408,7010.400541704776,1.383408896016714e-38,1
diabetes_binary,Diabetes,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5897,800.0,-0.446601037612697,4.141665463237186e-33,4541.671071968291,0.2743792334555095,6.922505316813265e-07,4662.9160109408895,4.141665463237186e-33,1
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4917,1485.0,0.3910959956095673,1.306685843517904e-32,5879.088012230121,0.17682404050462872,0.00037868753526344506,6015.407307872429,1.306685843517904e-32,1
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4918,227.0,0.8676120722030336,7.055776616911366e-32,1694.7891510797954,0.4370195779526573,2.64030447747609e-06,1823.9028824423272,7.055776616911366e-32,1
arthritis_binary,Arthritis,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4900,1524.0,-0.36058986713661245,6.398754004698541e-30,5945.100072614947,-0.000356824438713649,0.9941709857687596,6079.163812919593,6.398754004698541e-30,1
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4748,1441.0,0.3492386427380689,6.197333003956024e-28,5709.913131558438,0.04478221470473508,0.38375230960785545,5831.866100545569,6.197333003956024e-28,1
hypertension_binary,Hypertension,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.48249120160045034,5517,1937.0,-0.10639974920998481,0.00014099207429752128,7140.922652770399,0.4889805064466966,1.5532143277537273e-27,7022.494700569274,1.5532143277537273e-27,0
high_cholesterol_binary,High Cholesterol,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,5235,1697.0,0.2770602045832988,8.512151303819885e-21,6511.254816701299,-0.24057179400980733,2.075753485570869e-06,6576.609707553979,8.512151303819885e-21,1
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.48249120160045034,4982,1528.0,-0.27839717840920425,2.982159724624494e-19,6062.83508877133,0.20269827606073715,2.6971559644921394e-06,6124.297845215939,2.982159724624494e-19,1
stroke_binary,Stroke,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4906,239.0,-0.469125361717797,1.0578708712603283e-14,1857.824836813184,0.3087949151336999,0.0007473816982130542,1904.154627563771,1.0578708712603283e-14,1
high_cholesterol_binary,High Cholesterol,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5386,1763.0,-0.2228201864709282,2.3780918213823436e-14,6755.976830505991,-0.05987583118483776,0.197704366209145,6813.159174115539,2.3780918213823436e-14,1
