outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,correlation_r,n_samples,n_cases,beta_dir,p_dir,aic_dir,beta_abs,p_abs,aic_abs,best_p,is_directional,best_p_fdr,best_p_bonferroni,survives_fdr,survives_bonferroni
diabetes_binary,Diabetes,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,7583,773.0,0.7749272134028397,5.051012112555885e-69,4652.634861038177,0.5148537358774538,4.426743177594986e-22,4909.576388864408,5.051012112555885e-69,1,2.2010393275183083e-67,3.636728721040237e-67,True,True
hypertension_binary,Hypertension,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,5453,1879.0,0.5558405975598225,6.113998131995301e-69,6688.579278312709,0.1556393633323432,0.0007326964923004,7016.420421794179,6.113998131995301e-69,1,2.2010393275183083e-67,4.4020786550366166e-67,True,True
high_cholesterol_binary,High Cholesterol,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,5425,1743.0,0.5218794665148814,4.3550521074224836e-60,6525.084425611912,0.0658948512471226,0.1624319049418411,6814.104300290213,4.3550521074224836e-60,1,1.045212505781396e-58,3.135637517344188e-58,True,True
diabetes_binary,Diabetes,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2885,416.0,0.1251621590254334,0.0131087256038338,2378.1940505290067,1.2866361844679088,8.885754277976633e-54,2026.043078204898,8.885754277976633e-54,0,1.599435770035794e-52,6.397743080143176e-52,True,True
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,6424,748.0,0.5765776365591703,3.540258452543135e-51,4395.22670265466,0.312812151996429,2.652887568592572e-07,4600.8624192501975,3.540258452543135e-51,1,5.097972171662115e-50,2.5489860858310572e-49,True,True
diabetes_binary,Diabetes,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5897,800.0,0.5351366776338735,5.849659604452298e-49,4460.231230846227,0.6010956568008038,3.3112715871071374e-35,4523.919438508505,5.849659604452298e-49,1,7.019591525342758e-48,4.2117549152056546e-47,True,True
hypertension_binary,Hypertension,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5408,1900.0,0.4611511668894466,1.3798498273264748e-48,6777.089049494231,0.4668942741163301,1.848138207698611e-25,6894.358384344423,1.3798498273264748e-48,1,1.419274108107231e-47,9.934918756750618e-47,True,True
hypertension_binary,Hypertension,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,5262,1818.0,0.4292142380954352,2.1086748660585067e-46,6573.752525409315,0.0345875677985324,0.4695102786263458,6787.393815425716,2.1086748660585067e-46,1,1.897807379452656e-45,1.5182459035621248e-44,True,True
arthritis_binary,Arthritis,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4900,1524.0,0.4577094805721909,9.40863026812105e-43,5872.284444043394,0.3743241050720124,1.2097506298642822e-16,6006.320457272235,9.40863026812105e-43,1,7.52690421449684e-42,6.774213793047156e-41,True,True
high_cholesterol_binary,High Cholesterol,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,5386,1763.0,0.4180287453821892,6.41356841701071e-41,6619.17893876396,0.2485971547748072,2.179714443763434e-09,6778.287748400296,6.41356841701071e-41,1,4.617769260247711e-40,4.6177692602477114e-39,True,True
hypertension_binary,Hypertension,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5408,1900.0,-0.3861113630780048,1.383408896016714e-38,6838.272939374308,0.1026260404290248,0.021480593584564,7010.400541704776,1.383408896016714e-38,1,9.055040046654855e-38,9.960544051320342e-37,True,True
diabetes_binary,Diabetes,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5897,800.0,-0.446601037612697,4.141665463237186e-33,4541.671071968291,0.2743792334555095,6.922505316813265e-07,4662.9160109408895,4.141665463237186e-33,1,2.4849992779423117e-32,2.981999133530774e-31,True,True
arthritis_binary,Arthritis,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4917,1485.0,0.3910959956095673,1.306685843517904e-32,5879.088012230121,0.1768240405046287,0.0003786875352634,6015.407307872429,1.306685843517904e-32,1,7.237029287176084e-32,9.408138073328909e-31,True,True
heart_attack_binary,Heart Attack,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4918,227.0,0.8676120722030336,7.055776616911365e-32,1694.7891510797954,0.4370195779526573,2.64030447747609e-06,1823.9028824423272,7.055776616911365e-32,1,3.628685117268702e-31,5.080159164176183e-30,True,True
arthritis_binary,Arthritis,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4900,1524.0,-0.3605898671366124,6.398754004698541e-30,5945.100072614947,-0.0003568244387136,0.9941709857687596,6079.163812919593,6.398754004698541e-30,1,3.0714019222552997e-29,4.6071028833829495e-28,True,True
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,4748,1441.0,0.3492386427380689,6.197333003956024e-28,5709.913131558438,0.044782214704735,0.3837523096078554,5831.866100545569,6.197333003956024e-28,1,2.7887998517802107e-27,4.462079762848337e-26,True,True
hypertension_binary,Hypertension,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,5517,1937.0,-0.1063997492099848,0.0001409920742975,7140.922652770399,0.4889805064466966,1.5532143277537271e-27,7022.494700569274,1.5532143277537271e-27,0,6.578319505780491e-27,1.1183143159826835e-25,True,True
high_cholesterol_binary,High Cholesterol,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),0.4102883756778136,5235,1697.0,0.2770602045832988,8.512151303819885e-21,6511.254816701299,-0.2405717940098073,2.075753485570869e-06,6576.609707553979,8.512151303819885e-21,1,3.404860521527954e-20,6.128748938750317e-19,True,True
arthritis_binary,Arthritis,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4982,1528.0,-0.2783971784092042,2.982159724624494e-19,6062.83508877133,0.2026982760607371,2.6971559644921394e-06,6124.297845215939,2.982159724624494e-19,1,1.130081579857703e-18,2.1471550017296357e-17,True,True
stroke_binary,Stroke,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4906,239.0,-0.469125361717797,1.0578708712603283e-14,1857.824836813184,0.3087949151336999,0.000747381698213,1904.154627563771,1.0578708712603283e-14,1,3.808335136537182e-14,7.616670273074364e-13,True,True
high_cholesterol_binary,High Cholesterol,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,5386,1763.0,-0.2228201864709282,2.378091821382344e-14,6755.976830505991,-0.0598758311848377,0.197704366209145,6813.159174115539,2.378091821382344e-14,1,8.153457673310893e-14,1.7122261113952876e-12,True,True
hypertension_binary,Hypertension,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2652,945.0,-0.0041600762378241,0.9183460508067736,3458.379656523321,0.4473195041712008,2.8629526843256945e-14,3391.5745412529886,2.8629526843256945e-14,0,9.369663330520454e-14,2.0613259327145e-12,True,True
stroke_binary,Stroke,BMXBMI,Body Mass Index (kg/m2),BMXWAIST,Waist Circumference (cm),0.9328225308747892,4919,223.0,0.5352254699188075,5.139592846569848e-14,1761.284876776222,0.1218139364436027,0.2527427127374875,1818.255144315152,5.139592846569848e-14,1,1.6089160215349089e-13,3.70050684953029e-12,True,True
high_cholesterol_binary,High Cholesterol,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,5490,1797.0,-0.1845015805212981,1.1108651334622358e-10,6904.265280139695,0.3031155049486941,5.283067601980942e-13,6892.266240999219,5.283067601980942e-13,0,1.56810611074179e-12,3.8038086734262786e-11,True,True
heart_attack_binary,Heart Attack,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4904,243.0,0.3799371424528863,5.444812884520104e-13,1891.7173838032909,0.3956503877033686,9.54896925903558e-10,1907.161034326523,5.444812884520104e-13,1,1.56810611074179e-12,3.920265276854475e-11,True,True
high_cholesterol_binary,High Cholesterol,LBXGH,"Glycohemoglobin (HbA1c, %)",LBXGLU,Fasting Glucose (mg/dL),0.8441732591799292,2634,875.0,-0.0298982300563896,0.4724888703513376,3352.464030694347,0.403609058565455,1.7586630864447248e-12,3297.686919572815,1.7586630864447248e-12,0,4.870143931693084e-12,1.2662374222402018e-10,True,True
heart_attack_binary,Heart Attack,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4987,239.0,-0.358796940249482,3.2935709099348925e-12,1880.8158367212056,0.2672556300877964,0.0002445439228561,1911.3317552519263,3.2935709099348925e-12,1,8.78285575982638e-12,2.3713710551531227e-10,True,True
thyroid_binary,Thyroid Problem,systolic_bp,Systolic BP (mmHg),diastolic_bp,Diastolic BP (mmHg),0.4824912016004503,4985,591.0,-0.2454541332777275,4.0149544980114046e-10,3596.5772014145505,0.2482528720304208,3.3533865603215467e-06,3613.879691813841,4.0149544980114046e-10,1,1.0324168709172183e-09,2.8907672385682114e-08,True,True
thyroid_binary,Thyroid Problem,LBXSCA,Calcium (mg/dL),LBXSAL,Albumin (g/dL),0.5113459502479462,4900,598.0,-0.2616425763570572,6.154754971519068e-10,3601.868717221477,0.1166861968537643,0.0781153418574317,3636.4995206329286,6.154754971519068e-10,1,1.5280770963771477e-09,4.4314235794937285e-08,True,True
thyroid_binary,Thyroid Problem,LBXSCR,Creatinine Kidney (mg/dL),LBXSBU,BUN Kidney (mg/dL),0.5501150722438025,4900,598.0,0.2426336000237699,1.1282938905931367e-09,3604.138721308071,0.1968215567956457,0.0002711335553705,3627.389736466504,1.1282938905931367e-09,1,2.707905337423528e-09,8.123716012270584e-08,True,True
