outcome,varA,typeA,varB,typeB,varC,typeC,N111_disc,rate111_disc,or_disc,lower99_disc,N111_val,rate111_val,or_val,lower99_val
diabetes_binary,LBXGH,high,LBXSCR,high,LBXSKSI,high,65,0.8923076923076924,118.55826859045504,43.314090779512476,54,0.9629629629629629,495.7491408934708,93.10989709952396
diabetes_binary,BMXWAIST,high,LBXGH,high,LBXSCR,high,32,0.96875,352.71974522292993,40.80179825858131,35,0.7714285714285715,87.52901160464185,31.55780941332634
diabetes_binary,LBXGH,high,LBXSCR,high,LBXHSCRP,high,40,0.9,118.41519200674131,32.49943509709361,30,0.7666666666666667,75.10528012898025,25.300828422461375
diabetes_binary,LBXGH,high,LBXHSCRP,high,LBXPLTSI,high,41,0.8780487804878049,84.56750631918418,25.88016215731582,45,0.7555555555555555,55.90964467005076,23.070310874515943
diabetes_binary,BMXWAIST,high,LBXGH,high,LBXPLTSI,high,31,0.9354838709677419,170.82090209020902,31.161602268252174,32,0.75,63.60994820123466,22.628320473404884
diabetes_binary,BMXWAIST,high,LBXGH,high,LBXHSCRP,high,66,0.8484848484848485,80.9939736346516,33.76729752211367,59,0.6610169491525424,44.097248644197734,21.62360254817798
diabetes_binary,LBXGH,high,LBXWBCSI,high,LBXPLTSI,high,39,0.8717948717948718,79.18807610993657,24.130540980869423,34,0.7647058823529411,56.08470362208284,20.18286350279142
diabetes_binary,LBXGH,high,LBXHSCRP,high,LBXWBCSI,high,57,0.7894736842105263,47.87399024390244,20.85361789513936,53,0.6226415094339622,31.719117259867396,15.258831398378312
heart_attack_binary,LBXSCR,high,LBXSKSI,high,LBXHSCRP,high,46,0.21739130434782608,8.083746443342818,3.227120731108008,42,0.30952380952380953,14.954434050191583,6.310771888225406
hypertension_binary,BMXWAIST,high,LBXGH,high,LBXSCR,high,32,0.90625,21.072485048168176,4.90397734740187,35,0.8857142857142857,21.03941953649556,5.735880019204949
diabetes_binary,LBXSCR,high,LBXSKSI,high,LBXHGB,low,66,0.5454545454545454,8.591447702609097,4.536278687999094,56,0.4642857142857143,10.44817833803016,5.237784923769977
hypertension_binary,LBXSCR,high,LBXSKSI,high,LBXHGB,low,65,0.8461538461538461,11.18546581183472,4.689298123382143,56,0.8392857142857143,12.592965744641877,5.031665069897465
hypertension_binary,LBXGH,high,LBXSCR,high,LBXSKSI,high,64,0.75,6.8153562001640235,3.2611624969348356,52,0.8269230769230769,12.583494899253921,4.99267843688505
heart_attack_binary,LBXGH,high,LBXSCR,high,LBXSKSI,high,62,0.14516129032258066,5.285761651159417,2.099004151523921,49,0.24489795918367346,11.20675944333996,4.755034986467765
hypertension_binary,LBXSCR,high,LBXHSCRP,high,LBXHGB,low,44,0.8863636363636364,15.358811082326419,4.746907787014998,38,0.8421052631578947,13.118480614052352,4.3299948117496925
diabetes_binary,LBXSCR,high,LBXSKSI,high,LBXPLTSI,low,46,0.3695652173913043,4.355854231440239,1.991136172524863,48,0.4166666666666667,8.697371113480447,4.10055458109572
hypertension_binary,LBXGH,high,LBXSCR,high,LBXHSCRP,high,40,0.85,12.452900041135335,4.130879858802134,30,0.8333333333333334,13.273390289643675,3.947707133755522
diabetes_binary,LBXSCR,high,LBXHSCRP,high,LBXHGB,low,44,0.6136363636363636,11.01045875921084,4.981912092775835,38,0.42105263157894735,8.93303206369701,3.854733810162663
heart_attack_binary,LBXSCR,high,LBXHSCRP,high,LBXHGB,low,43,0.2558139534883721,9.105503073924126,3.705979633734915,37,0.24324324324324326,10.108159392789373,3.7996159105709317
heart_attack_binary,LBXSCR,high,LBXSKSI,high,LBXHGB,low,64,0.140625,4.616066370630265,1.8400058605377534,56,0.21428571428571427,8.514141805501744,3.677260928635825
stroke_binary,LBXSCR,high,LBXSKSI,high,LBXHSCRP,high,44,0.18181818181818182,7.31653271727459,2.69833586531495,40,0.2,9.676923076923076,3.531603626165119
hypertension_binary,LBXSCR,high,LBXSCA,low,LBXHGB,low,32,0.875,12.900075492416443,3.4867862713740916,30,0.8333333333333334,11.50353115297373,3.4219399492690203
hypertension_binary,LBXSCR,high,LBXWBCSI,low,LBXPLTSI,low,47,0.6382978723404256,3.4904217743611055,1.6077777899900147,34,0.7941176470588235,9.136332651670076,3.1565076781925043
diabetes_binary,LBXSCR,high,LBXSKSI,high,LBXHSCRP,high,46,0.5,7.676381299332119,3.5988570942374327,42,0.35714285714285715,7.067992549420176,3.1007086657012475
heart_attack_binary,BMXWAIST,high,LBXGH,high,LBXSCR,high,30,0.23333333333333334,9.780886609455136,3.27085959088828,35,0.2,8.971393451782323,3.0748097723275265
hypertension_binary,BMXWAIST,high,LBXGH,high,LBXHSCRP,high,66,0.696969696969697,5.195257609586524,2.6158343622808014,59,0.6949152542372882,6.2176701143770075,3.0183306795256053
hypertension_binary,LBXSCR,high,LBXSKSI,high,LBXHSCRP,high,46,0.7608695652173914,6.716652009625327,2.7957193284226305,42,0.7380952380952381,7.288982810119391,2.994611246247013
diabetes_binary,BMXWAIST,high,LBXHSCRP,high,LBXHGB,low,60,0.3333333333333333,3.7875480088942792,1.871935879893975,35,0.34285714285714286,7.359016732080149,2.971414228457581
