outcome_name,marker1_name,marker2_name,anomaly_type,gate,n_samples,n11,n10,n01,n00,p00,p10,p01,p11,age00,age10,age01,age11,or10,or01,or11,beta1,p1,beta2,p2,beta3_adjusted,p3_adjusted,beta_age,p_age,beta_sex,p_sex,p3_fdr,p3_bonferroni,survives_fdr,survives_bonferroni
Diabetes,Fasting Glucose (mg/dL),Insulin (uIU/mL),High-High,OR,2823,72,209,211,2331,0.0669,0.7943,0.1754,0.7222,44.6,62.5,39.4,57.2,53.207,2.987,35.6,3.6667,1.5337073872038184e-74,1.5492,2.358859599111995e-12,-1.6713,3.047758942921425e-05,0.0577,7.349018959413283e-38,-0.0676,0.6302797162665954,0.36072560027578626,0.36573107315057096,False,False
Diabetes,Insulin (uIU/mL),ALT Liver Enzyme (U/L),High-High,OR,2818,68,214,207,2329,0.1202,0.3551,0.2029,0.1912,46.0,44.7,45.7,41.9,4.036,1.876,1.777,1.8286,3.207152833753936e-23,0.8861,1.2995630198003706e-05,-1.6983,6.012093337929771e-05,0.063,1.9787031833452882e-61,-0.2028,0.08865964153019436,0.36072560027578626,0.7214512005515725,False,False
Diabetes,"Glycohemoglobin (HbA1c, %)",Fasting Glucose (mg/dL),High-High,OR,2885,221,49,63,2552,0.0603,0.8367,0.5397,0.8462,43.7,66.6,62.2,60.6,75.795,18.156,84.371,3.7741,1.2371773934371831e-20,2.3937,5.4193773129336206e-17,-1.98,0.00016977711274701439,0.0518,3.5486108921730185e-29,-0.1151,0.43734061567510973,0.6791084509880575,1.0,False,False
Stroke,BUN Kidney (mg/dL),Sodium (mmol/L),Low-Low,AND,4906,41,318,340,4207,0.0504,0.022,0.0412,0.1463,52.1,41.9,53.9,42.0,0.453,0.835,3.443,-0.2107,0.5956502831874536,-0.3155,0.27118379815219684,2.4442,0.0002728240698455019,0.0583,1.1009367512566141e-31,0.1032,0.4478936648364257,0.8184722095365057,1.0,False,False
Diabetes,LDL Cholesterol (mg/dL),Sodium (mmol/L),High-Low,AND,2796,30,247,152,2367,0.1432,0.0972,0.1842,0.3667,45.0,53.8,45.5,49.7,0.655,1.368,3.524,-0.757,0.0010326286516832174,0.3025,0.20641211187688557,1.8658,0.00036123437969354146,0.0589,1.1755658978156478e-59,-0.2463,0.03504338207987849,0.8512863711141452,1.0,False,False
Diabetes,LDL Cholesterol (mg/dL),Creatinine Kidney (mg/dL),High-Low,AND,2795,14,263,258,2260,0.1469,0.1027,0.1357,0.5714,46.1,53.5,34.8,51.6,0.674,0.921,7.585,-0.6367,0.003870354675292201,0.7869,0.00036878981713878996,2.2846,0.00045554930003926646,0.0607,1.0937777784037651e-60,-0.3918,0.001341523650059174,0.8512863711141452,1.0,False,False
Heart Attack,Albumin (g/dL),Hemoglobin (g/dL),Low-Low,AND,4904,116,229,341,4218,0.0503,0.0437,0.0235,0.1121,51.1,53.5,53.9,54.0,0.902,0.481,2.459,-0.252,0.4606516643337716,-0.9015,0.016110993039050482,2.0616,0.0004965837164832514,0.0654,4.7571150254334865e-36,-0.9223,3.62112702612515e-10,0.8512863711141452,1.0,False,False
Diabetes,Body Mass Index (kg/m2),"Glycohemoglobin (HbA1c, %)",High-High,OR,5947,99,488,472,4888,0.0554,0.127,0.8199,0.7475,43.5,44.4,62.9,54.0,2.492,77.08,49.688,1.1696,2.5722041789374576e-13,3.9915,1.3046498795302805e-173,-1.0752,0.0007005523831122818,0.0556,4.999035100134932e-62,-0.3998,0.00015003323385455033,0.9188816685135497,1.0,False,False
Arthritis,hs-CRP Inflammation (mg/L),WBC Count (10^3/uL),High-High,XOR,4892,116,371,357,4048,0.2982,0.442,0.3109,0.319,51.7,52.5,47.6,51.6,1.866,1.064,1.11,0.6846,2.450627812375153e-08,0.3489,0.010012486099684517,-0.9527,0.0007613419142750501,0.0641,8.226741401625995e-166,0.486,4.412767396698323e-12,0.9188816685135497,1.0,False,False
High Cholesterol,Creatinine Kidney (mg/dL),Calcium (mg/dL),High-Low,XNOR,5386,69,451,460,4406,0.318,0.4368,0.2717,0.5797,46.5,63.1,48.2,62.0,1.664,0.802,2.944,-0.3263,0.0039024646347110225,-0.283,0.017223836506236812,1.0325,0.0007657347237612915,0.0556,8.98376512723181e-177,-0.0824,0.20999683783330647,0.9188816685135497,1.0,False,False
