outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,anomaly_type,gate,n_samples,n_cases,p00,p10,p01,p11,or10,or01,or11,beta1,p1,beta2,p2,beta3,p3
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXBMI,Body Mass Index (kg/m2),High-High,OR,6633,797.0,0.09785819793205318,0.24156305506216696,0.19030520646319568,0.25773195876288657,2.9410949617209847,2.1727230313031334,3.2397737983034873,1.0771231177789455,3.357584922822723e-23,0.7732239998809072,4.2290120583644754e-11,-0.6868851665361889,0.013506343279424241
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),High-High,OR,6424,748.0,0.0859047619047619,0.2349624060150376,0.2701688555347092,0.25688073394495414,3.2738166574947853,3.94365238109454,3.7172818620956725,1.184196054215274,1.7476139969220715e-25,1.3709294583131226,4.191823866032057e-36,-1.2526746546700636,2.367051856182707e-06
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),BMXWAIST,Waist Circumference (cm),TwoSided-TwoSided,XOR,6424,748.0,0.10234192037470725,0.15825688073394495,0.15274725274725276,0.0913978494623656,1.6522485655936983,1.5843666327191928,0.8930542308503904,0.5002145268276544,2.1854683593684638e-06,0.4582554298523278,1.2930609215704256e-05,-1.0836854572618737,2.020334210405516e-06
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXGH,"Glycohemoglobin (HbA1c, %)",High-High,OR,5737,776.0,0.05818874312314854,0.11504424778761062,0.8185840707964602,0.7383177570093458,2.1180760890991523,72.56363636363636,45.072022160664815,0.7438921428227285,3.3182149269553134e-06,4.2908967297233005,1.8871508496056434e-215,-1.2134325589049284,4.689440961123372e-05
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXSUA,Uric Acid (mg/dL),High-High,OR,5600,763.0,0.11773601209764528,0.23931623931623933,0.20657276995305165,0.23376623376623376,2.362855339427652,1.957621576833147,2.328085404647652,0.8576145250643763,2.9659638054261113e-13,0.6683373036165,1.8034931834264194e-07,-0.6990711300691184,0.02755455280511615
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXSKSI,Potassium (mmol/L),High-High,OR,5599,762.0,0.1131993006993007,0.2334710743801653,0.24008350730688935,0.26666666666666666,2.391408854873062,2.4802830259810866,2.9022894477370986,0.8696560342311837,1.1360049892663303e-13,0.9062485388527876,8.141567804650935e-15,-0.7290352066361732,0.028219825781458305
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXHSCRP,hs-CRP Inflammation (mg/L),High-High,OR,6124,763.0,0.09951942330796956,0.23984526112185686,0.2265193370165746,0.2714285714285714,2.860241486977454,2.6550887612856195,3.4229887300580573,1.0490477144098542,2.1095087644451075e-20,0.9745054047690819,6.034310123836465e-18,-0.808364012062743,0.008935322474826386
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBXHGB,Hemoglobin (g/dL),TwoSided-TwoSided,AND,6297,780.0,0.11837627613028683,0.1165644171779141,0.12755102040816327,0.24,0.9855378090195904,1.0915823704835979,2.3646408013754954,-0.01747730420924797,0.8745714637797831,0.08510928456585296,0.42737392977610955,0.7875855259053215,0.0002328989094902231
diabetes_binary,Diabetes,diastolic_bp,Diastolic BP (mmHg),LBXSCR,Creatinine Kidney (mg/dL),Low-Low,XOR,5602,763.0,0.1323561112308687,0.16556291390728478,0.16904761904761906,0.03333333333333333,1.3067093888018848,1.3401604756766319,0.2620341741253051,0.26287917962224333,0.049151690223518,0.28789321654440864,0.03588979181959423,-2.0377829644476053,0.0009419445443891179
diabetes_binary,Diabetes,diastolic_bp,Diastolic BP (mmHg),LBXSCA,Calcium (mg/dL),Low-Low,AND,5600,763.0,0.13356612832824094,0.1312127236580517,0.15368421052631578,0.3,0.9853322448979591,1.183751552795031,2.8431793770139633,-0.020489361900255926,0.8828261898394955,0.16379644369827845,0.22306066001342706,0.8791841489836825,0.025331489907999397
