outcome_var,outcome_name,marker1_var,marker1_name,marker2_var,marker2_name,combination_type,n_samples,n_cases,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,p_gain,aic_gain
diabetes_binary,Diabetes,LBXPLTSI,Platelet Count (10^3/uL),LBXHSCRP,hs-CRP Inflammation (mg/L),Ratio,7240,801.0,-1.151748244213725,1.7049052176504127e-37,4760.749073414254,-0.37284390468937656,1.1411172364018452e-18,4956.504658330871,0.2690955972272006,1.1292463390001606e-20,4951.924943057611,6.623513889859596e+16,191.17586964335715
diabetes_binary,Diabetes,LBXSNASI,Sodium (mmol/L),LBXGH,"Glycohemoglobin (HbA1c, %)",Ratio,5895,800.0,-2.120050465332479,1.6186555933740323e-210,2589.9874092252458,-0.11825361103510333,0.0017452463066662987,4675.993430020111,2.160222281417346,2.460576681785758e-187,2762.7437640075423,1.520136026377773e+23,172.7563547822965
diabetes_binary,Diabetes,LBXTC,Total Cholesterol (mg/dL),LBXTR,Triglycerides (mg/dL),Ratio,2832,411.0,-1.1062883326134347,7.739475608213869e-34,2141.237048095436,-0.2758989213085599,1.972493836930776e-06,2325.848309699735,0.38775536797461985,2.4208702042508608e-11,2295.0066830867527,3.1279512034143537e+22,153.7696349913167
hypertension_binary,Hypertension,LBXSAL,Albumin (g/dL),LBXGH,"Glycohemoglobin (HbA1c, %)",Ratio,5407,1900.0,-0.6704440473235969,7.153751755068306e-95,6520.853595006929,-0.27241495163115503,5.870162544670608e-21,6924.467272306404,0.579124595785795,4.262389228761837e-59,6673.043603358308,5.958257114166717e+35,152.19000835137922
diabetes_binary,Diabetes,LBXHGB,Hemoglobin (g/dL),LBXHSCRP,hs-CRP Inflammation (mg/L),Ratio,7240,801.0,-0.8771678190607721,2.8071411411157954e-35,4811.5858707139,-0.009484969088050771,0.8000306838037354,5040.6829568320045,0.2690955972272006,1.1292463390001606e-20,4951.924943057611,402276295431052.9,140.33907234371145
diabetes_binary,Diabetes,LBDLDL,LDL Cholesterol (mg/dL),LBXTR,Triglycerides (mg/dL),Ratio,2806,403.0,-1.1691300310935115,1.1005730485739124e-36,2084.609541735499,-0.3754052628781449,5.421583435159036e-10,2271.5250396991323,0.452133994166418,3.8264124382977946e-22,2223.759688444602,347674554020374.94,139.15014670910296
hypertension_binary,Hypertension,LBXPLTSI,Platelet Count (10^3/uL),LBXHSCRP,hs-CRP Inflammation (mg/L),Ratio,5401,1893.0,-0.5411118515994464,3.0790798744473056e-38,6785.722315657098,-0.1270155101244844,1.382725515636234e-05,6981.745411978705,0.28902981042588816,8.683608740812605e-16,6917.802038885605,2.820195998446228e+22,132.07972322850674
hypertension_binary,Hypertension,LBXSNASI,Sodium (mmol/L),LBXGH,"Glycohemoglobin (HbA1c, %)",Ratio,5407,1900.0,-0.6491728785998969,1.2273340421607175e-87,6547.1781860707715,0.0325791404408561,0.25354323792378575,7013.48389733235,0.579124595785795,4.262389228761837e-59,6673.043603358308,3.4728843838291284e+28,125.86541728753673
diabetes_binary,Diabetes,LBXSAL,Albumin (g/dL),LBXGLU,Fasting Glucose (mg/dL),Ratio,2825,411.0,-1.8549938677117932,5.818701175821835e-106,1470.942194286748,-0.34708176447562344,2.8244936378068386e-11,2303.414348164906,1.8485656312928935,2.4348725871557546e-81,1596.7418048240513,4.184563725790322e+24,125.79961053730335
diabetes_binary,Diabetes,systolic_bp,Systolic BP (mmHg),LBDHDD,HDL Cholesterol (mg/dL),Difference,6160,768.0,0.7307929430107867,6.260622209164511e-74,4280.43123012812,0.5383040735193989,1.7469543172574589e-53,4404.609342726374,-0.4849018059884037,4.709497143225058e-25,4516.587226325524,2.7903844999626523e+20,124.1781125982543
