outcome_name,marker1_name,marker2_name,combination_type,beta_comp,p_comp,aic_comp,beta_A,p_A,aic_A,beta_B,p_B,aic_B,aic_gain,p_comp_fdr,p_comp_bonferroni,survives_fdr,survives_bonferroni
Diabetes,Sodium (mmol/L),"Glycohemoglobin (HbA1c, %)",Ratio,-1.9057544787041616,1.1664108772288764e-170,2439.2194577154073,-0.16795230146790027,1.1814810752671705e-05,3957.2399801841307,1.8702224049897511,4.9158781160811637e-144,2569.480716389412,130.2612586740047,5.598772210698606e-167,1.1197544421397213e-166,True,True
Diabetes,Total Cholesterol (mg/dL),Triglycerides (mg/dL),Ratio,-1.0175728022782393,2.233734140132352e-25,1840.4201780402993,-0.4174665305084671,2.809634903150508e-11,1938.0767137079145,0.353735357514664,9.667563795633988e-09,1947.4607266226953,97.65653566761512,1.772218821923188e-23,2.1443847745270576e-21,True,True
Diabetes,LDL Cholesterol (mg/dL),Triglycerides (mg/dL),Ratio,-1.0306507818912853,3.427043680179533e-26,1799.2890140509453,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,0.4069089666404807,1.506271365758534e-14,1893.3158102267312,94.02679617578588,2.7646738932540773e-24,3.289961932972352e-22,True,True
High Cholesterol,AST Liver Enzyme (U/L),ALT Liver Enzyme (U/L),Ratio,-0.41279252091966384,3.217501694220689e-25,5632.427635666569,0.014189148283145051,0.6626852042263007,5753.071332024798,0.173391897683348,1.1426425044904593e-07,5725.000873856071,92.57323818950226,2.5112208345137087e-23,3.0888016264518613e-21,True,True
Diabetes,Body Mass Index (kg/m2),HDL Cholesterol (mg/dL),Ratio,0.6309567298499756,6.527732906321532e-54,3718.6616419707384,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,-0.6037687813234637,3.6887560336171774e-32,3804.8877438042546,86.22610183351617,2.5066494360274683e-51,6.266623590068671e-50,True,True
Diabetes,Calcium (mg/dL),"Glycohemoglobin (HbA1c, %)",Ratio,-1.914200902746808,4.856551830032149e-171,2483.890787442556,-0.024238131714067714,0.5390480751508111,3975.632932602914,1.8703190071437978,5.360724029483612e-144,2569.377339931403,85.48655248884734,4.662289756830863e-167,4.662289756830863e-167,True,True
Diabetes,HDL Cholesterol (mg/dL),Body Mass Index (kg/m2),Difference,-0.7450969637089477,1.7310555468338794e-48,3719.593930541837,-0.6037687813234637,3.6887560336171774e-32,3804.8877438042546,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,85.29381326241764,4.15453331240131e-46,1.6618133249605243e-44,True,True
Diabetes,Body Mass Index (kg/m2),HDL Cholesterol (mg/dL),Difference,0.7450969637089477,1.7310555468338794e-48,3719.593930541837,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,-0.6037687813234637,3.6887560336171774e-32,3804.8877438042546,85.29381326241764,4.15453331240131e-46,1.6618133249605243e-44,True,True
Diabetes,Body Mass Index (kg/m2),Total Cholesterol (mg/dL),Ratio,0.5791125626704559,2.65029336660452e-54,3721.4955250436733,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,-0.37641353456153165,5.982121468945033e-18,3886.9457063989066,83.87296333352288,1.1564916508819725e-51,2.5442816319403395e-50,True,True
Diabetes,HDL Cholesterol (mg/dL),Body Mass Index (kg/m2),Ratio,-0.9320171313075121,1.7230034971773662e-43,3722.896074339531,-0.6037687813234637,3.6887560336171774e-32,3804.8877438042546,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,81.9916694647236,3.1246046980435353e-41,1.6540833572902716e-39,True,True
Diabetes,Total Cholesterol (mg/dL),Body Mass Index (kg/m2),Ratio,-0.7364280295764442,4.00508825579863e-46,3728.000580253985,-0.37641353456153165,5.982121468945033e-18,3886.9457063989066,0.5441637880796635,2.6099680157505867e-37,3805.368488377196,77.36790812321124,8.180605799078052e-44,3.844884725566685e-42,True,True
Diabetes,AST Liver Enzyme (U/L),ALT Liver Enzyme (U/L),Ratio,-0.4834547363357638,3.98342918426249e-18,3884.426063976013,-0.026486950271388233,0.5654986942302027,3971.4304741765723,0.14162686323032403,0.00018414481213138232,3959.7244504728164,75.29838649680323,1.931359604490904e-16,3.82409201689199e-14,True,True
Diabetes,Albumin (g/dL),Fasting Glucose (mg/dL),Ratio,-1.6805886576426343,8.285407324414936e-86,1363.1402756651382,-0.22516348922641183,0.0002489163904380663,1970.5746111833005,1.542371148496051,3.462445963491252e-62,1438.0589535851786,74.91867792004041,1.5907982062876676e-82,7.953991031438338e-82,True,True
High Cholesterol,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),Ratio,0.3521285055904603,3.5347212660779334e-24,5650.300396591259,0.173391897683348,1.1426425044904593e-07,5725.000873856071,0.014189148283145051,0.6626852042263007,5753.071332024798,74.70047726481152,2.7146659323478527e-22,3.393332415434816e-20,True,True
Diabetes,HDL Cholesterol (mg/dL),Waist Circumference (cm),Difference,-0.8497901093093513,3.1059435299333595e-54,3453.7247337890217,-0.6059536047653187,1.0744665635401547e-30,3570.7873578612152,0.7312435769192435,7.121154410929251e-44,3527.716979572856,73.99224578383428,1.2423774119733438e-51,2.9817057887360253e-50,True,True
Diabetes,Waist Circumference (cm),HDL Cholesterol (mg/dL),Difference,0.8497901093093513,3.1059435299333595e-54,3453.7247337890217,0.7312435769192435,7.121154410929251e-44,3527.716979572856,-0.6059536047653187,1.0744665635401547e-30,3570.7873578612152,73.99224578383428,1.2423774119733438e-51,2.9817057887360253e-50,True,True
Diabetes,ALT Liver Enzyme (U/L),AST Liver Enzyme (U/L),Ratio,0.4061396512210381,2.0547656946688567e-20,3888.808179993992,0.14162686323032403,0.00018414481213138232,3959.7244504728164,-0.026486950271388233,0.5654986942302027,3971.4304741765723,70.91627047882457,1.2176389301741372e-18,1.9725750668821024e-16,True,True
Diabetes,Sodium (mmol/L),Fasting Glucose (mg/dL),Ratio,-1.5248633415663164,6.827397776417297e-86,1374.128235589073,-0.16579266014140745,0.002669258089814418,1974.7853825374195,1.542371148496051,3.462445963491252e-62,1438.0589535851786,63.930717996105614,1.5907982062876676e-82,6.554301865360605e-82,True,True
Diabetes,Hemoglobin (g/dL),WBC Count (10^3/uL),Ratio,-0.405487468954243,6.828365421220228e-18,4052.6518858600957,-0.1850274449117394,1.2719275801576506e-05,4115.766207505252,0.03568162945752427,0.2736615995302778,4132.952411657822,63.11432164515645,3.2133484335154015e-16,6.555230804371419e-14,True,True
High Cholesterol,HDL Cholesterol (mg/dL),Total Cholesterol (mg/dL),Difference,-0.41878735569975756,6.5110240565676e-37,5620.450741395287,-0.2560737696126787,5.967392466436252e-13,5735.231407500218,0.331722121291193,1.2914143295553243e-24,5681.931916000676,61.48117460538924,7.912130499120122e-35,6.250583094304895e-33,True,True
High Cholesterol,Total Cholesterol (mg/dL),HDL Cholesterol (mg/dL),Difference,0.41878735569975756,6.5110240565676e-37,5620.450741395287,0.331722121291193,1.2914143295553243e-24,5681.931916000676,-0.2560737696126787,5.967392466436252e-13,5735.231407500218,61.48117460538924,7.912130499120122e-35,6.250583094304895e-33,True,True
Diabetes,Calcium (mg/dL),WBC Count (10^3/uL),Ratio,-0.34635692050681394,8.276712451263741e-14,3911.706149049279,-0.022967651859264703,0.5607724732838446,3972.265140221539,0.03893013181911421,0.2741249359524067,3970.9099797466124,59.203830697333615,2.817604238728082e-12,7.945643953213191e-10,True,True
Diabetes,LDL Cholesterol (mg/dL),Triglycerides (mg/dL),Difference,-0.5700491776831436,2.0576595265892228e-26,1834.6699722080907,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,0.4069089666404807,1.506271365758534e-14,1893.3158102267312,58.64583801864046,1.6740280894285204e-24,1.9753531455256538e-22,True,True
Diabetes,Triglycerides (mg/dL),LDL Cholesterol (mg/dL),Difference,0.5700491776831436,2.0576595265892228e-26,1834.6699722080907,0.4069089666404807,1.506271365758534e-14,1893.3158102267312,-0.4192358999349048,1.4394243669393046e-11,1900.3012717258098,58.64583801864046,1.6740280894285204e-24,1.9753531455256538e-22,True,True
High Cholesterol,Total Cholesterol (mg/dL),HDL Cholesterol (mg/dL),Ratio,0.43704689393940027,1.6355070324551224e-34,5623.575177112261,0.331722121291193,1.2914143295553243e-24,5681.931916000676,-0.2560737696126787,5.967392466436252e-13,5735.231407500218,58.35673888841484,1.8691508942344254e-32,1.5700867511569174e-30,True,True
Diabetes,Triglycerides (mg/dL),Total Cholesterol (mg/dL),Ratio,0.5856375803295272,1.853549040225517e-21,1880.3376280919952,0.353735357514664,9.667563795633988e-09,1947.4607266226953,-0.4174665305084671,2.809634903150508e-11,1938.0767137079145,57.739085615919294,1.1333803048512715e-19,1.7794070786164963e-17,True,True
Hypertension,Potassium (mmol/L),"Glycohemoglobin (HbA1c, %)",Ratio,-0.3565084786154369,5.943058751228851e-27,5625.142954053769,-0.1705148215601973,1.294449523831263e-07,5716.812572849764,0.2515340912493016,2.0456630936430054e-14,5682.2653599750965,57.1224059213273,4.9183934492928425e-25,5.705336401179698e-23,True,True
Diabetes,Insulin (uIU/mL),HDL Cholesterol (mg/dL),Difference,0.805460047991198,2.4858782760109855e-27,1821.8087625688006,0.6449480781308538,5.336511418593407e-17,1877.1530746123585,-0.6733343444491906,3.062679909869396e-19,1884.9065375235405,55.34431204355792,2.075167952148301e-25,2.386443144970546e-23,True,True
