outcome,marker1,marker2,anomaly_type,n11_d,n11_v,rate_00_d,rate_11_d,rate_00_v,rate_11_v,or_d,or_l_d,or_u_d,or_v,or_l_v,or_u_v,beta3_d,p3_d,beta3_v,p3_v,beta_med_int_d,p_med_int_d,beta_med_int_v,p_med_int_v
TRD,BMXBMI,BMXWAIST,High-High,74.0,44.0,0.2732362821948488,0.33783783783783783,0.2588495575221239,0.5,1.368469975831939,0.7094257219491895,2.639754969143331,2.859275053304904,1.2944393862614312,6.315825922188534,-0.9737814986306765,0.1057656851754306,0.7091053389145463,0.315716116003783,-0.4617399492975437,0.1414183553237553,0.7872533306660962,0.03785881810581079
TRD,BMXBMI,BMXWAIST,Low-Low,78.0,101.0,0.28683035714285715,0.2692307692307692,0.27305825242718446,0.2871287128712871,0.9286112283663993,0.47121553418310286,1.8299880859043942,1.08174936921783,0.5951830856792494,1.9660869503166567,-0.11890608700632418,0.8636256823352719,0.17293420456299524,0.7678707613077637,-0.0493424642778657,0.8675690250664814,0.04447523066102574,0.863097407072938
TRD,BMXBMI,LBDHDD,Low-High,25.0,28.0,0.29152148664343785,0.28,0.27353689567430023,0.14285714285714285,0.9840954274353877,0.31735978730111275,3.0515643413271305,0.48709692693782847,0.12791310018286695,1.8548797261037382,0.153443298967084,0.7913366753143154,-0.5683315142670026,0.3920478458316723,0.3920566554554989,0.4747291718327712,-0.35817682767708464,0.5659750381331661
TRD,BMXBMI,LBXGH,Low-Low,23.0,30.0,0.29318181818181815,0.2608695652173913,0.27190721649484534,0.3,0.8944459795523625,0.2698059348571986,2.965218725677115,1.181428335807356,0.4239693160117294,3.292155493181785,0.08459989985484428,0.8892564585762653,0.5441995758964264,0.31648093568698277,-0.2815542656987835,0.6008863541885467,0.2729347005691393,0.5500790613842073
TRD,BMXBMI,LBXHSCRP,High-High,38.0,22.0,0.2705202312138728,0.5526315789473685,0.2553191489361702,0.5909090909090909,3.3084983247030157,1.410672345517599,7.759534805756992,4.138446578339614,1.3644051034396985,12.552532996683999,0.7263850064434546,0.1493986536912428,0.8008459441565536,0.1865310213000192,0.6536482497395149,0.15024448649518657,1.2217967315962717,0.028161221935254464
TRD,BMXBMI,LBXHSCRP,Low-Low,32.0,46.0,0.29500580720092917,0.34375,0.2708333333333333,0.34782608695652173,1.2767853063462327,0.4886018555967178,3.3364194176273494,1.4542988559971695,0.6440558804192795,3.2838535084530607,0.8574665704054143,0.1245765194833872,0.6436002695833534,0.18393672855773036,0.4469473543695634,0.2897182981687034,0.44229116627215703,0.20891284998117732
TRD,BMXBMI,LBXSUA,Low-Low,21.0,23.0,0.2881745120551091,0.2857142857142857,0.2605905006418485,0.21739130434782608,1.0346309241326237,0.3057446640231619,3.5011605274996174,0.8422205989773558,0.2368565222499028,2.994789970754403,0.1654807216465942,0.7890369316705446,-0.8450317634810061,0.17067018041733584,0.03550449841293266,0.9494329167562152,-0.6599207970956127,0.2324963070149294
TRD,BMXWAIST,LBDHDD,Low-High,24.0,32.0,0.291970802919708,0.2916666666666667,0.27225806451612905,0.15625,1.038016038016038,0.33149150668288013,3.250391860595321,0.533806146572104,0.15743205958263404,1.8099807807481079,0.4910868032841537,0.4089320535167148,-0.5161233988823282,0.410124080372563,0.3502665545896797,0.5157010257881112,-0.24560577120530866,0.6675685454413409
TRD,BMXWAIST,LBXGH,Low-Low,26.0,39.0,0.29201430274135876,0.23076923076923078,0.27023498694516973,0.28205128205128205,0.7678207739307535,0.23690071418670697,2.4885899686017163,1.088015218769816,0.4318820771690683,2.740973008267067,0.05101168473178086,0.933842556337474,0.37406623803022726,0.4721777828957746,-0.37194595355897453,0.47671713693865936,0.2132999678675209,0.604637009896094
TRD,BMXWAIST,LBXHSCRP,Low-Low,35.0,53.0,0.29539951573849876,0.3142857142857143,0.2727272727272727,0.37735849056603776,1.1182755310713244,0.43617900620921385,2.8670342808590594,1.6293832044596295,0.7679928389359328,3.4569197684883695,0.7855366325307767,0.1736562742907517,1.11383976554143,0.02285653805252549,0.3022616721742823,0.4634829008730076,0.6269008329982237,0.05498867980633384
